"Participant_number","Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Age","Gender","Music_listening","Practice","Location","ID"
14,"All of the time","Most of the time","A moderate amount of the time","Most of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","B1","The Beethoven seemed to begin as a frolic on a beautiful summer's day. Dancing, conversing, enjoying the overtures, eated on the glrass in a partk. Noice surrounds with the awrmth of the sun, twittering insects, butterflies, and swaying of trees. Couples begin to pair off as theiy paster lovingly more intimate conversations as the day pose slowly to noon and eventually to sunset and evening","Mostly","Entirely","Entirely","H3","The story enters the lobby of a hotel where a set of actions take place. People checking in and out, discussions arise in the lobby some pleasant other full of disturbance and anxiety. The hotel is forcefully ending with crying. Staff and guests. There is continued action and nothing is resolved, there is never a ___, pure chaos.","Entirely","Entirely","Entirely",NA,"63","Male","Very frequently",15,"H",NA
15,"Most of the time","A moderate amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Most of the time","Not at all","A moderate amount of the time","A small amount of the time","B1","I remember performing with a trio and the interaction of my fellow performers.","Mostly","Moderately","Mostly","H4","The composer's discussion prior to the performance started me thinkin gabout marionettes etc, and the more lurid aspects of paris int he 20s.","Mostly","Mostly","Mostly",NA,"75","Female","Very frequently",50,"I",NA
16,"Not at all","Not at all","Not at all","Most of the time","A moderate amount of the time","Most of the time","Most of the time","A small amount of the time","A moderate amount of the time","H5","Events in my life - planning how to navigate the times ahead","Moderately","Moderately","Moderately",NA,NA,NA,NA,NA,"I don't omagine fiction to music...","73","Female","Moderately frequently",NA,"H",NA
17,"Not at all","Not at all","A small amount of the time","A small amount of the time","Not at all","All of the time","A small amount of the time","A small amount of the time","A small amount of the time","H2","No doubt because the piece is programmatic, prompted with being ""au pare"" in Paris, I thought of summer 2022, visiting my good friend who lived in Paris at that time. Extremely hot summer, one of the first things we did was take a bottle of champagne to a park; hot sun, another oocasion, in the tuilleries, also hot...","Entirely","Mostly","Mostly","H4","Nope, I was entirely engrossed in the music, apart from the thoughts of the hot summer in Paris. The comments from Hugh at the beginning made me try to imagine marionettes and whatnot, and car horns in the first movement, but by and large I was focused on the performance.","Entirely","Not at all","Not at all",NA,"44","Female","Very frequently",17,"I",NA
18,"Not at all","A moderate amount of the time","Not at all",NA,"Not at all","Most of the time","Not at all","Not at all","Not at all","B1, H6","Beethoven - sublime beauty - water or light patterns Hough - gestures of musicians","Mostly","Mostly","Mostly",NA,NA,NA,NA,NA,NA,"78","Male","Frequently",0,"I",NA
19,"A moderate amount of the time","Not at all","A moderate amount of the time","Most of the time","A small amount of the time","All of the time","Not at all","Not at all","All of the time","B1","Though the memory I thought of was not the longest sustained, it was the most intense. I imagined practicing a Beethoven Sonata in B-flat, I think when I was younger and in music school. I could almost feel my fingers twitching as I listened, and the environment of the old practice room was vivid.","Entirely","Mostly","Entirely","H2","I specifically imagined the black and white depictions of Paris from some children's book, but I can't remember the name. I just saw drawings of French buildings made o fblack crayon on white paper. Also I smell cucumber sandwiches??? Don't know if they are connected","Entirely","Entirely","Mostly","In the final movement of the Hough, I saw wheat fields; along with blue sky, green trees, etc. But very golden,  autumnal wheat fields.","24","Female","Very frequently",18,"H",NA
20,"A small amount of the time","Not at all","Not at all","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A small amount of the time",NA,"B1, H6","It's a memory of a short story I just read today (by Chuck Palahniuk) There were also memories of the previous concert I attended","Not at all","Mostly","Mostly","B1, B4, H4, H6","Everyday life scenarios - I just imagined the different ways to enjoy the weekend. I also pictured the scenes from a poem I'm doing resesarch on","Not at all","Entirely","Entirely","Beethoven's Adagio was very striking in its sobriety. Most of my memories were elicited by visual cues, as I have never listened to these pieces before. Aside from memories, I spent the most time thinking about research","29","Female","Moderately frequently",0,"G",NA
21,"A moderate amount of the time","Not at all","Not at all","A moderate amount of the time","A moderate amount of the time","Most of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","B1","I was thinking a lot about my grandparents, who introduced me to classical music, which has become a very important part of my life. I was thinkin gabout spending time at Tanglewood with them, listening to great music in a beautiful outdoor setting.","Mostly","Entirely","Entirely","H1","I was imagining Parisians strolling by - women with fancy hats - dogs - remembering the architecture of the city","Moderately","Moderately","Moderately","The hotel movement where things start off ok and then descend into what made me think of a funhouse, was difficult - the composer's explanation of the piece plunged me into worry over the current state of our country. I might not have gone there had it not been for the insight into the time period (pre WWII) that inspired the piece.","55","Female","Very frequently",10,"G",NA
22,"A small amount of the time","Not at all","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","Not at all","A small amount of the time","H1","This movement very closely resembled the modern era soundtrack in my favorite computer game, Civilization IV. It brought back memories of playing the game- building modern era infrstructure such as airports and factories, having workers turn roads into railrods, and moving large stacks of combat units around to capture other civilizations.","Entirely","Not at all","Entirely","B3","I heard this piece last summer (or perhaps the year before) at the Marlboro Music Festival. It made me think back to summers in Vermont and a feeling of me floating through a beautiful summer day with clear skies, animal sounds, and lots of green vegetation.","Entirely","Slightly","Entirely",NA,"28","Male","Moderately frequently",12,"G",NA
23,NA,"A moderate amount of the time",NA,NA,NA,"Most of the time",NA,"A small amount of the time",NA,"B4","Not a memory but evolution of atmosphere of early Romantic era, perhaps near Venice this Beethoven is much more settled in his culture (like Brhams) rather than an outsider at where his daughters and relationships to previous.","Mostly","Moderately","Moderately","H4","Imagining conversation between Hugh and Poulenc. Sharing jokes and pondering observations about society as in some Poulenc song cycles  (j'ai vie mes amies sans souces).","Mostly",NA,"Mostly","Enjoying the sense of family among performers- string quartet almost uniquely exists only as and lohen the 4 conspire in real time to bring the mediocre parts into an organic state. Frquent how they imagine the white case when first reading their parts (Do they all see all parts first or want to first throguh)",NA,"Male","Frequently",40,"F",NA
24,"Not at all","A small amount of the time","A small amount of the time","Most of the time","Not at all","Most of the time","A moderate amount of the time","Not at all","A small amount of the time","B2; H1","B2: I remembered the very relaxing and positive images from my trip the week before to Austin, TX. H1: The music most vividly reminded me of being on the boulevard Champs Elyseea in Paris 50 years ago.","Entirely","Entirely","Mostly","H6","I was able to imagine what were complexities of the life at that time - maybe as we view them in retrospect- and made more vivid and intense by knowing what was to come.","Mostly","Mostly","Slightly","Hough movement 5 also evoked very strong emotions-- sadness",NA,"2","Frequently",65,"I",NA
25,"A moderate amount of the time","Not at all","Not at all","Most of the time","A small amount of the time","All of the time","Most of the time","A small amount of the time","A small amount of the time","B1","Learning the violin. Holding the violin, loving the violin and wishing I still played. Planning to buy a violin + take lessons again. Seeing the violin and hearts full of appendage - not ___ from my hobby. Watching the movement of the musicians before as they played. Remembering how it feels to play + how the violin prompts one to ssavor how the violin and sounds are ___.","Entirely","Entirely","Entirely","B1, B4, H4, H6","Nature, Greenery, Woodlands, Pris","Mostly","Mostly","Entirely","My motives was an apeare singers so parts always appended to music. One 4 years old my tennis teen was to the Planet ___. As the ___ opened + the stars appeared, the enchanted music swelled + I burst into tears at the heading of the music + the stars",NA,"4",NA,NA,NA,NA
26,"Most of the time","Not at all","Not at all","A moderate amount of the time","Not at all","All of the time","A small amount of the time","Not at all","Not at all","B1","A boy aged about four, who when he heard a cello for the first time burst into tears with heavy sobs. Then, almost immediately, a memory, about the other end up life: my grandmother. At a concert she knew would probably be the last she would ever attend, bursting into tears. The music was Beethoven's ninth symphony.","Entirely","Entirely","Entirely","H4","Divers theatrical characters strutting and getting on a stage.","Entirely","Entirely","Mostly",NA,"73","Female","Very frequently",12,"H",NA
27,"A small amount of the time","A small amount of the time","A small amount of the time","Most of the time","Not at all","A moderate amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","H2","Rowing on the small pond in the Bois de Boulogne with my husband. It was sunny and not windy. The water moved slowly around the boat. Watching the small ""taxi"" ferry restaurant guests for the Sunday dejeuner to the guitar looking restaurant on the pond and small island.","Mostly","Mostly","Entirely","H1","This was suggested by composer Hough's introduction, describing what he had in mind when he wrote this piece. I imagined the hustle of pedestrains, carriages and horses on a wide Paris boulevard. Not stalling, rather the move - memory prusues with purpose, with much intent to go to their destinations.","Moderately","Moderately","Moderately","When the Beethoven piece began, I was ____ how I feel this space is a peaceful protected interior. In particular, these days very much away from current news and the dreadful MAGAs. I seriously wonder (am convinced) no MAGAs enter here. Thankfully!","68","Female","Frequently",0,"G",NA
28,"Not at all","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all",NA,"I didn't experience memories. I'm listening to the music.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","Female","Very frequently",70,"I",NA
29,"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","A small amount of the time",NA,"I had no memories. I was at this concert because I love this quartet and their interpretation of Beethoven. I was entirely absorbed by the music, its structure and development. If I wanted to daydream, I would have stayed at home!",NA,NA,NA,NA,"No fictional imaginings at all! I don't really understand these questions. Listening to music is totally absorbive and immersive. I think I'm the wrong subject for your research! None - no imaginings!","Not at all","Not at all","Not at all",NA,"73","Female","Very frequently",5,"I",NA
30,"Not at all","Not at all","A small amount of the time","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","B1","I play the violin and have played reguarly with a string quartet that sight read every Saturday morning. The first movement of the Beethoven brought back many memories of this great repertorie. That I no longer have as I have moved.","Moderately","Mostly","Entirely","H1;H2;H3","My great-grandmother was an accomplished artist and did several drawings that look like late 19th century/early 20th century Paris. This music made me imagine this Paris.","Mostly","Entirely","Entirely",NA,"77","Female","Frequently",NA,"E",NA
31,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Not at all","Not at all","Not at all","Not at all","B2;B3","I rememnbered someone a couple of years behind me in grade school (~1950) and the house where she lived, then when a US senator of the same family anme came to my parents house for a social occasion - drinks before lunch, I think. I have no idea why I should remember this! No other thoughts. This was during the Beethoven probably movement 2, maybe 3. The most coherent vision was of the bridge over the Charles River on the road to this person's house (a house I never visited, but I knew where it was).","Not at all","Entirely","Mostly",NA,"I had no fictional imaginings, I had some thoughts about the Hough quartet - which movement was being played, could I remember the titles? But I didn't envision them.","Mostly","Moderately","Slightly",NA,"86","Male","Frequently",0,"F",NA
32,"A moderate amount of the time","Not at all","Not at all",NA,"Not at all","A moderate amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","B2;H4","I fanticized about whether it was interfering or bothering the woman seated ___ of ___ me. This ___ during Hough, movement 4 dud was influenced by the composer's introducing ___ and my state of partial dreaminess.","Moderately","Mostly","Entirely","H4","Please see commentary on previous page. My ___ is ___ ___ here as a ""fictional imaginings"" rather than a memory.","Moderately","Entirely","Entirely",NA,"81","Male","Frequently",10,"D",NA
33,"A moderate amount of the time","A small amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","B1; B2; B3; H1; H5","The whole first half was in the UK for me, even though I've never been there! Beethoven mvmt 1 conjured a memory of my brother (this one part wasn't in the uk) learning to crawl on Easter day years ago, crawlling for a plate of sweet tarts that ended up on the floor, then it went to Beatrix Potter Peter Cottontail Morie and its pastels. Then what I imagined when I read Wuthering Heights - rainy hills of heather. At adagio, an image of rain pouring down a wood-framed window. Hough was fountains! All over, coming up from the concrete. I guesss the concrete was at Cinderella's castle. Also some of the movemets brought me to a vide of Darcy Bussel dancing the ballet Prince of the Pagolas Red & graig.","Mostly","Mostly","Entirely","B1; B2; B4; H1; H4; H5; H6","Oops...I answered this!","Mostly","Mostly","Entirely",NA,"35","Female","Frequently",NA,"F",NA
34,"A moderate amount of the time","Most of the time","A moderate amount of the time","Most of the time","Not at all","Most of the time","A small amount of the time","A moderate amount of the time","Not at all","H5","Beginning with the tiny al hilk rowing voices from the second violin and the viola, I just been unitry out or escaping out from the mostly and obscure of moon light covering with the mushroom smell, chasing by the ____ of the it all ends with the start of the plunge I saw the first light in a white color the purest color, gleamering light shine on face, through the trees pass through the lenses fsurfece, as if all the mastering black magic gone and I sunddenly found. Nope again, the sun will always lone, even at the darkest age","Entirely","Mostly","Entirely","B1","The delicate turning of the violin colding with the rhymes with the cello, I found myself spining thorugh time, and ___ to the place of my rey only, ___ I was five and I was trying to learn how to dance. The spinning of traditional Chinese dance as the spinning and up rising of the violin at each of the dynamics of the cello is the turning of each dance character, as through from violets to homogenous as I first scared of fault at which I found exteremely joy in it, and then everything seems to change, or somehow too shortly, as strech my leg over the top of my head and appears the innocent smile last time to the audience, the quoartet ends, al my dance ended at them seven. Absolute quiet as the perform went off all my childhood fall even I once thought I can always withhhold.","Entirely","Entirely","Entirely","I once thought I loved dance just because the elegant of oneself could only be perform in that way, as if that should be the beauty of a moment. As ___ on, the music went back to the dancing, memories and I imagine I was dancing again, ___. The beauty is not only its elegant, but the key of expressing oneself, the koot come naturally with your identity. Music let one fixed its identity, music let one final it's identity at memories but not letting one forget about why.","10 (or 60?)","Female","Very frequently",11,"F",NA
35,"Not at all","A small amount of the time","A small amount of the time","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","Not at all","B1; B2; H4; H5","The second movement of Beethoven's String Quartet in F Major is emotional and has deep feeling. The first movement is full of energy, so is the last movement. Hough's slow movements are dramatic and has strong dynamic changes. The fast movements are vivid and has a lot of details also.","Mostly","Mostly","Mostly",NA,"When I listen to music, I usually don't imagine any fictional story or scene. I just purely enjoy the music.","Not at all","Not at all","Not at all",NA,"42","Female","Very frequently",30,"E",NA
36,"A small amount of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","Most of the time","Most of the time","A moderate amount of the time","A moderate amount of the time","B3; h4","B3: it brought back my memory of my first year of undergrad when my quartet was working on Mendelssohn's quartet No.2 (also the scherzo mvt). They're very similar musically really; H4: I wasn't thinking about anything cuz I was focus in the music the whole time (it's of course new to me, and I love getting into ""music theory analysis"" mode when I hear sth new. The last chord is a D-flat major chord and D-flat major is my favorite key and it probably just brought back the memories of every time I heard the chord.","Mostly","Moderately","Slightly","B1; H2","B1: It is very noble music, I was imaging people were sort of gathering in a party at a court. Many conversations questions between the ladies and gentlemen who were invited to the party; H1: Kids playing around in a park. It was probably during spring time.","Moderately","Moderately","Slightly",NA,"27","Male","Frequently",20,"F",NA
37,"A small amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","A moderate amount of the time","H4","A quick meeting in the spring of 2018, in the NYC broadway after a certain show. It was pretty dark and cold, and I had a talk with a stranger about the show we'd watched. It was a little hurried a quicky meeting.","Moderately","Entirely","Mostly","H5","It's the violin scene in Arcane season1: Ray Chen was the model violinist. It was some dramatic romantic music, a dark-ish atmosphere, quite mysterious","Mostly","Mostly","Not at all",NA,"20","Female","Frequently",13,"K",NA
38,"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","B1","Beethoven: playing with cousin's at summer house in Sweden; Hough's piece: no day dreaming as memories, not melodic enough for me.","Mostly","Moderately","Mostly",NA,NA,"Not at all","Not at all","Not at all",NA,"83","Female","Frequently",NA,"J",NA
39,"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all","B2; H6","My brain is wired to the outdoors - nature! Music relays sounds heard in nature during all types of weather","Mostly","Entirely","Entirely",NA,"N/A",NA,NA,NA,"My life has memories of nature and being in forests, water... listening to binds, animals, weather W, Virginia (back in the hills)- N. Dakota (up near Canada), Minnesota (Boundary Waters) Iowa (farm)","80","Female","Very frequently",80,"D",NA
40,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","Most of the time","A small amount of the time","A small amount of the time","H2","I cannot give much detail. Probably some raindrops in a Paris-like bark.","Moderately","Moderately",NA,NA,"Music is music. Absolutely ""abstract"", Either you are in or ____ walk  with the music while thinking about other things.",NA,NA,NA,"There was a lot of priming about the survey before the concert starbed and also at the ____ beginning of survey's question. You will have to take account for this in year analysis. I am not sure the results you will have will be reliable. In fact, they won't be.","62","Male","Frequently",NA,"A",NA
41,"Not at all","A small amount of the time","A moderate amount of the time",NA,"Not at all","All of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","H1; H2","Hough: Thinking about Paris- walking on Blvd. St.Michael --fall of enjoyment. Beautiful weather.","Mostly","Mostly","Mostly",NA,"I did not imagine any fictional scenes. I mostly engaged in the sound form of the works","Slightly","Slightly","Moderately","I loved the 1t mvt of the Beethoven the ensemble playingw as phenomenal. The freshness of each instrument and then how they worked as a team especially during the silences were inspiring","72","Female","Very frequently",NA,"E",NA
42,"Most of the time","Not at all","Not at all","Most of the time","Most of the time","A moderate amount of the time","A moderate amount of the time","Most of the time","All of the time","B3","First falling in love with Beethoven's string quartet because of a film. I was making at the time, in 2022 -- 14th string quartet was my first love -- worked backwards -- wrote the film in March of 2022 with thoughts of summer -- this movement, while not in the film, exhibited the character or expression I wished to capture -- reminds me of a time filled with hope and excitement at the opportunity to make films, sitting in a cabin in the Pocons snowed in, dreaming of sunnier days","Mostly","Entirely","Entirely","H5","Always bad with melody one memory of music, but I took note of a film I'd like to make, about two sisters figuring out a way to convince their father to rejoin the living after becoming a recluse following the death of his wife, their mother. The scene is tense because the younger sister, who lives with the father, is less optimistic than the older sister, who feels like she has all the answers (she doesn't, which she will soon find out).","Mostly","Entirely","Entirely","I'm excited to re-experience the Hough string quartet, as this was my first experience.","28","Male","Very frequently",NA,"J",NA
43,"A moderate amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","B2, H5",NA,"Mostly","Mostly","Mostly","B2; H3","The Beethoven-inspired ""imaginings"" come largely from my own emotions and musical impressions. Also more abstract. Images during the Hough were more vivid -- I was also thinking/engaged more by the music in the Beethoven, and had more attention in the Hough to let my mind wander. Imagined scenes during the Hough were largely led by the movement titles, but images/scenes easily followed.","Mostly","Mostly","Mostly",NA,"22","Female","Frequently",NA,"K",NA
44,"Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","All of the time","Not at all","A small amount of the time","Not at all","B2","Not sure what you mean about memory. I experience music in a pure form. Adagio was amazing.","Not at all","Not at all","Not at all",NA,"none","Not at all","Not at all","Not at all",NA,"73","Female","Very frequently",65,"J",NA
45,"Not at all","Not at all","Most of the time","A small amount of the time","Not at all","All of the time","A small amount of the time","A small amount of the time","Not at all",NA,"Beethoven: thought about previous performances of this piece and compared this to those performances.","Slightly","Slightly","Moderately",NA,NA,"Entirely","Mostly","Mostly",NA,"67","Male","Very frequently",0,"J",NA
46,"Not at all","A small amount of the time","Not at all","Not at all","Not at all","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time",NA,"None that I can recall and describe","Not at all","Not at all","Not at all",NA,"none",NA,NA,NA,"No particularly strong responses as to memories, but I really enjoyed both pieces.","77","Male","Very frequently",0,"J",NA
47,"A small amount of the time","Not at all","Not at all","Not at all","A small amount of the time","A small amount of the time","A moderate amount of the time","Not at all","Not at all","B2, H3,H6",NA,"Slightly","Slightly","Slightly","Br2, H6",NA,"Slightly","Slightly","Slightly","I spent a lot of time looking at the musicians, and their expressions and body movements, their smiles and shared looks, and how they felt the music they were playing. I can hear the music on the radio, but I only experience it as played by artists here!","56","Male","Somewhat rarely",0,"K",NA
48,"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","B2, H3,H5","None of the memories lasted long enough for me to take real notice of - very much passing thoughts","Not at all","Entirely","Entirely","H1","I saw a scene of bustling with people. The sky was blue with small puffy clouds. The street was lined with tall, leafy trees. I don't think I saw any cars, just people and trees and some pink flowers.","Mostly","Entirely","Entirely",NA,"50","Female","Very frequently",44,"J",NA
49,"Most of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Most of the time","Most of the time","Not at all","Most of the time","B2, B4, H6","Movement 2 sleep in summer night. When you are sleeping outside under the stars","Moderately","Mostly","Entirely","Br2",NA,"Moderately","Mostly","Entirely",NA,"62","Female","Very frequently",0,"J",NA
50,"Most of the time","Not at all","Not at all","Not at all","A small amount of the time","Most of the time","Not at all","Not at all","A moderate amount of the time",NA,"I really didn't have any memory I try very hard to be here. My feet are and just enjoyed the music playing as clear attention as I could. The Hough music was chaotic and not especially enjoyable.",NA,NA,NA,NA,"Refer to the comments on page 1",NA,NA,NA,"I loved the musicians' animated and could read the playful moments, the more somber movements. Those movements made me think of peace, joy and sorrow. More emotions and less images or memory.","75","Female","Moderately frequently",0,"J",NA
51,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","Not at all","Not at all","Not at all","B2","for some reason in the second movement of the first piece I thought of a childhood friend with whom I am not in touch anymore. Her parents are buried and ___ away from mine and I imagined running into her at the cemetary. Usually I try to concentrate on the music -- the players, themes, currents. Although today is the anniversary of my mother's death.","Not at all","Entirely","Entirely",NA,NA,NA,NA,NA,NA,"68","Female","Frequently",NA,"J",NA
52,"A small amount of the time","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","B2","I remembered being in Vienna years ago and seeing scenes that Beethoven could have seen. I did research on salons and I remember scenes/ sketches from books where he would have played or his work would have been performed","Entirely","Moderately","Moderately","H2","I imagined a cat walking, pracing, meowing, growling, whining. And she ccame back briefly in movement 5","Entirely","Entirely","Entirely",NA,"74","Female","Very frequently",0,"I",NA
53,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Not at all","Not at all","B1","visualized people dancing","Mostly","Not at all","Slightly","H5","visualized a large seurat painting","Moderately","Slightly","Slightly",NA,"43","Female","Frequently",15,"J",NA
